Date,Open,High,Low,Close,Volume,Market Cap,Time Open,Time High,Time Low,Time Close
20-01-2024,41624.58902858508,41877.893917696936,41446.8230903601,41665.58483621092,11586690904.11,816801167080.27,2024-01-20T00:00:00.000Z,2024-01-20T21:10:00.000Z,2024-01-20T00:39:00.000Z,2024-01-20T23:59:59.999Z
19-01-2024,41278.459185400294,42134.158975029684,40297.4578577579,41618.40736540423,25752407154.41,815839646533.36,2024-01-19T00:00:00.000Z,2024-01-19T20:15:00.000Z,2024-01-19T17:11:00.000Z,2024-01-19T23:59:59.999Z
18-01-2024,42742.31162383286,42876.34660253938,40631.17049462201,41262.05836418456,25218357242.1,808819115627.1,2024-01-18T00:00:00.000Z,2024-01-18T08:03:00.000Z,2024-01-18T20:37:00.000Z,2024-01-18T23:59:59.999Z
17-01-2024,43132.10033916552,43189.89051053628,42189.31052799276,42742.65283731412,20851232595.16,837804850463.55,2024-01-17T00:00:00.000Z,2024-01-17T01:29:00.000Z,2024-01-17T17:06:00.000Z,2024-01-17T23:59:59.999Z
16-01-2024,42499.337536169114,43566.274923518606,42085.99602800387,43154.94423438237,24062872739.52,845855247845.2,2024-01-16T00:00:00.000Z,2024-01-16T21:39:00.000Z,2024-01-16T14:45:00.000Z,2024-01-16T23:59:59.999Z
15-01-2024,41715.06652745808,43319.72118323356,41705.41832777538,42511.967720331144,22320220557.74,833216754804.02,2024-01-15T00:00:00.000Z,2024-01-15T18:47:00.000Z,2024-01-15T00:02:00.000Z,2024-01-15T23:59:59.999Z
14-01-2024,42842.26366522521,43065.59885210593,41724.613724590556,41796.26960642449,17521429522.39,819159863482.62,2024-01-14T00:00:00.000Z,2024-01-14T09:59:00.000Z,2024-01-14T23:55:00.000Z,2024-01-14T23:59:59.999Z
13-01-2024,42799.446487781825,43234.66177719859,42464.143203822154,42842.382191236,20601860468.7,839627405357.25,2024-01-13T00:00:00.000Z,2024-01-13T08:30:00.000Z,2024-01-13T03:31:00.000Z,2024-01-13T23:59:59.999Z
12-01-2024,46354.79318800117,46498.1348211579,41903.770750755255,42853.16665806203,43332698900.4,839796421013.38,2024-01-12T00:00:00.000Z,2024-01-12T00:47:00.000Z,2024-01-12T22:30:00.000Z,2024-01-12T23:59:59.999Z
11-01-2024,46656.07308396605,48969.37139952968,45678.645397764056,46368.58538201935,45833734549.23,908639958360.69,2024-01-11T00:00:00.000Z,2024-01-11T14:52:00.000Z,2024-01-11T06:19:00.000Z,2024-01-11T23:59:59.999Z
